@relation song_type
@attribute 'danceability' numeric
@attribute 'energy' numeric
@attribute 'key' numeric
@attribute 'loudness' numeric
@attribute 'speechiness' numeric
@attribute 'acousticness' numeric
@attribute 'instrumentalness' numeric
@attribute 'liveness' numeric
@attribute 'valence' numeric
@attribute 'tempo' numeric
@attribute 'class' string
@attribute 'id' string

@data
0.904,0.813,4,-7.105,0.121,0.0311,0.00697,0.0471,0.81,125.461,playlist_0,0UaMYEvWZi0ZqiDOoHU3YI
0.774,0.838,5,-3.914,0.114,0.0249,0.025,0.242,0.924,143.04,playlist_0,6I9VzXrHxO9rA9A5euc8Ak
0.664,0.758,2,-6.583,0.21,0.00238,0,0.0598,0.701,99.259,playlist_0,0WqIKmW4BTrj3eJFmnCKMv
0.892,0.714,4,-6.055,0.141,0.201,0.000234,0.0521,0.817,100.972,playlist_0,1AWQoqb9bSvzTjaLralEkT
0.853,0.606,0,-4.596,0.0713,0.0561,0,0.313,0.654,94.759,playlist_0,1lzr43nnXAijIGYnCT8M8H
0.881,0.788,2,-4.669,0.168,0.0212,0,0.0377,0.592,104.997,playlist_0,0XUfyU2QviPAs6bxSpXYG4
0.662,0.507,5,-8.238,0.118,0.257,0,0.0465,0.676,86.412,playlist_0,68vgtRHr7iZHpzGpon6Jlo
0.57,0.821,2,-4.38,0.267,0.178,0,0.289,0.408,210.857,playlist_0,3BxWKCI06eQ5Od8TY2JBeA
0.713,0.678,5,-3.525,0.102,0.273,0,0.149,0.734,138.009,playlist_0,7H6ev70Weq6DdpZyyTmUXk
0.727,0.974,4,-2.261,0.0664,0.103,0.000532,0.174,0.965,79.526,playlist_0,2PpruBYCo4H7WOBJ7Q2EwM
0.808,0.97,10,-6.098,0.0506,0.0569,0.0000613,0.154,0.868,114.328,playlist_0,2gam98EZKrF9XuOkU13ApN
0.71,0.553,4,-4.722,0.0292,0.00206,0.0000548,0.0469,0.731,99.005,playlist_0,4Y45aqo9QMa57rDsAJv40A
0.66,0.666,9,-4.342,0.0472,0.0759,0,0.0268,0.933,89.975,playlist_0,1HwpWwa6bnqqRhK8agG4RS
0.687,0.71,9,-5.84,0.0522,0.0283,0.00000371,0.0689,0.886,79.235,playlist_0,20ORwCJusz4KS2PbTPVNKo
0.803,0.454,8,-4.802,0.0294,0.352,0,0.0655,0.739,99.99,playlist_0,7k6IzwMGpxnRghE7YosnXT
0.775,0.731,8,-5.446,0.134,0.189,0,0.129,0.821,131.103,playlist_0,1Bv0Yl01xBDZD4OQP93fyl
0.487,0.9,0,-4.417,0.0482,0.0000679,0,0.358,0.484,149.937,playlist_0,4omisSlTk6Dsq2iQD7MA07
0.846,0.482,1,-6.721,0.129,0.0246,0,0.393,0.212,100.969,playlist_0,7xYnUQigPoIDAMPVK79NEq
0.705,0.796,7,-6.845,0.267,0.0708,0,0.388,0.864,166.042,playlist_0,6d8A5sAx9TfdeseDvfWNHd
0.771,0.685,1,-4.639,0.0567,0.00543,0.00157,0.0537,0.683,88.997,playlist_0,4pmc2AxSEq6g7hPVlJCPyP
0.717,0.733,4,-4.985,0.0427,0.0398,0,0.136,0.713,119.996,playlist_0,215JYyyUnrJ98NK3KEwu6d
0.835,0.687,5,-3.18,0.184,0.101,0,0.132,0.828,94.059,playlist_0,0uqPG793dkDDN7sCUJJIVC
0.728,0.801,4,-3.636,0.0752,0.00349,0.000195,0.0907,0.813,119.989,playlist_0,19Js5ypV6JKn4DMExHQbGc
0.571,0.89,9,-1.6,0.0395,0.00509,0,0.0769,0.751,110.958,playlist_0,1JURww012QnWAw0zZXi6Aa
0.536,0.612,4,-5.847,0.272,0.119,0,0.209,0.57,86.768,playlist_0,7DFnq8FYhHMCylykf6ZCxA
0.659,0.869,11,-5.858,0.046,0.00357,0,0.302,0.811,106.966,playlist_0,1TfAhjzRBWzYZ8IdUV3igl
0.619,0.87,2,-4.956,0.501,0.41,0.00000137,0.0571,0.94,188.772,playlist_0,1Y4ZdPOOgCUhBcKZOrUFiS
0.624,0.976,8,-5.355,0.0494,0.004,0.0000118,0.376,0.514,142.008,playlist_0,6MjljecHzHelUDismyKkba
0.615,0.711,11,-5.507,0.0779,0.0444,0,0.145,0.711,144.036,playlist_0,67T6l4q3zVjC5nZZPXByU8
0.673,0.683,1,-5.693,0.115,0.522,0,0.235,0.713,171.86,playlist_0,34ceTg8ChN5HjrqiIYCn9Q
0.652,0.698,10,-4.667,0.042,0.00112,0.000115,0.0886,0.47,96.021,playlist_0,5Q0Nhxo0l2bP3pNjpGJwV1
0.423,0.94,1,-4.012,0.0635,0.00166,0,0.178,0.505,149.934,playlist_0,6GIrIt2M39wEGwjCQjGChX
0.706,0.751,9,-6.323,0.0708,0.173,0,0.168,0.195,91.031,playlist_0,4E5P1XyAFtrjpiIxkydly4
0.669,0.822,11,-4.288,0.043,0.0339,0.000142,0.231,0.43,120.011,playlist_0,3H1LCvO3fVsK2HPguhbml0
0.829,0.627,1,-3.928,0.0759,0.00663,0,0.0939,0.72,120.048,playlist_0,3uoQULcUWfnt6nc6J7Vgai
0.709,0.745,4,-6.437,0.0738,0.0225,0.000052,0.154,0.576,126.027,playlist_0,2nbClS09zsIAqNkshg6jnp
0.58,0.75,4,-4.421,0.194,0.159,0,0.274,0.728,86.938,playlist_0,69ghzc538EQSVon2Gm3wrr
0.447,0.848,2,-6.175,0.222,0.033,0.0000745,0.722,0.485,172.247,playlist_0,1kusepF3AacIEtUTYrw4GV
0.356,0.924,1,-3.74,0.0808,0.00101,0,0.0953,0.232,148.017,playlist_0,7oK9VyNzrYvRFo7nQEYkWN
0.442,0.893,0,-4.878,0.0505,0.00844,0,0.529,0.712,148.119,playlist_0,12qZHAeOyTf93YAWvGDTat
0.938,0.735,7,-6.382,0.0434,0.00952,0,0.0998,0.55,103.7,playlist_0,2jFlMILIQzs7lSFudG9lbo
0.719,0.839,5,-5.235,0.0257,0.00241,0,0.228,0.636,129.97,playlist_0,4I2GqMe7L2ccMpUbnDzYLH
0.465,0.954,10,-4.251,0.044,0.000346,0.00000538,0.573,0.458,143.85,playlist_0,5lDriBxJd22IhOH9zTcFrV
0.73,0.848,5,-5.262,0.101,0.0494,0,0.133,0.559,65.025,playlist_0,2eJ8ij1T3cNUKiGdcUvKhy
0.559,0.845,11,-3.871,0.0379,0.222,0,0.164,0.304,94.915,playlist_0,5y69gQtK33qxb8a24ACkCy
0.725,0.732,9,-6.594,0.156,0.0501,0.0000018,0.104,0.515,93.029,playlist_0,1X5WGCrUMuwRFuYU1eAo2I
0.695,0.903,9,-5.092,0.162,0.0137,0.0000432,0.126,0.811,138.985,playlist_0,3utIAb67sOu0QHxBE88P1M
0.747,0.878,8,-3.533,0.0282,0.343,0,0.0872,0.557,106.004,playlist_0,3jkdQNkDTxxXtjSO4l0o1H
0.485,0.823,1,-2.816,0.0362,0.00981,0,0.116,0.555,91.005,playlist_0,5c1sfI6wIQEsSUw0xrkFdl
