@relation song_type
@attribute 'danceability' numeric
@attribute 'energy' numeric
@attribute 'key' numeric
@attribute 'loudness' numeric
@attribute 'speechiness' numeric
@attribute 'acousticness' numeric
@attribute 'instrumentalness' numeric
@attribute 'liveness' numeric
@attribute 'valence' numeric
@attribute 'tempo' numeric
@attribute 'id' string

@data
0.675,0.556,3,-8.288,0.0296,0.503,0.117,0.221,0.445,92.014,39ctmPVTtAMKeVJhMq5dS5
0.935,0.526,8,-8.256,0.0645,0.275,0.238,0.0673,0.778,118.009,24nL5EXPrdodyCdxXoRRBZ
0.608,0.47,10,-8.654,0.0328,0.659,0.000276,0.129,0.369,109.946,6DHehPcZTNfvELvtB4xbUd
0.771,0.446,8,-12.884,0.0428,0.539,0.00849,0.159,0.935,134.971,0tuZ4kxBXGyBL6hcmZrPVD
0.776,0.378,0,-8.035,0.0322,0.435,0.00187,0.11,0.453,135.981,2EgfLUS0jNiujIWc3ZLEtn
0.794,0.628,6,-4.321,0.0328,0.0871,0,0.181,0.935,121.793,7BL33HmuFQien4olebugdj
0.557,0.289,1,-17.424,0.0693,0.86,0.118,0.0929,0.454,160.914,4dry9L9GCVDkZccpIQ81LH
0.711,0.763,4,-3.888,0.0298,0.101,0,0.187,0.792,106.006,0LWJw6cx5zCTJzg2K9gxjS
0.732,0.433,11,-9.624,0.0266,0.572,0.000676,0.118,0.417,94.979,3Myuj5ET3Y3iGh8NGi8Ui3
0.687,0.426,6,-7.588,0.0431,0.206,0.0000166,0.234,0.484,150.089,7hGlI6hbIMilmP4szdfRqa
0.581,0.522,5,-8.615,0.0266,0.557,0.000389,0.0988,0.407,132.314,78D02ZDWXjpB6si1Fhbw6q
0.498,0.721,10,-5.232,0.0282,0.136,0.699,0.0933,0.589,140.022,522YBf6WqBwJVAe7oHLymu
0.485,0.472,2,-8.058,0.0306,0.296,0.00000775,0.0966,0.477,173.648,2GygOAZfu7hG7WULOP0bCq
0.586,0.893,7,-8.772,0.439,0.827,0.642,0.212,0.65,140.023,1c5CllrZr45UBhWpIqM332
0.435,0.523,0,-9.502,0.041,0.535,0.00011,0.162,0.374,178.301,431qZaQAJuIolwBrlDa6Yg
0.586,0.563,10,-8.366,0.054,0.25,0.000687,0.113,0.283,82.791,6YtylNU7D1S5SeO529q2AN
0.744,0.619,0,-9.805,0.039,0.598,0.00372,0.231,0.641,112.997,7B3z0ySL9Rr0XvZEAjWZzM
0.556,0.294,6,-12.048,0.0275,0.592,0.000419,0.118,0.399,133.92,4BAby1BNCzHJxHwEKfwcLq
