@relation song_type
@attribute 'danceability' numeric
@attribute 'energy' numeric
@attribute 'key' numeric
@attribute 'loudness' numeric
@attribute 'speechiness' numeric
@attribute 'acousticness' numeric
@attribute 'instrumentalness' numeric
@attribute 'liveness' numeric
@attribute 'valence' numeric
@attribute 'tempo' numeric
@attribute 'Class' {'playlist_0', 'playlist_1','playlist_4','playlist_10'}
@attribute 'id' string

@data
0.57,0.821,2,-4.38,0.267,0.178,0,0.289,0.408,210.857,playlist_0,3BxWKCI06eQ5Od8TY2JBeA
0.719,0.839,5,-5.235,0.0257,0.00241,0,0.228,0.636,129.97,playlist_0,4I2GqMe7L2ccMpUbnDzYLH
0.727,0.974,4,-2.261,0.0664,0.103,0.000532,0.174,0.965,79.526,playlist_0,2PpruBYCo4H7WOBJ7Q2EwM
0.664,0.758,2,-6.583,0.21,0.00238,0,0.0598,0.701,99.259,playlist_0,0WqIKmW4BTrj3eJFmnCKMv
0.771,0.685,1,-4.639,0.0567,0.00543,0.00157,0.0537,0.683,88.997,playlist_0,4pmc2AxSEq6g7hPVlJCPyP
0.66,0.666,9,-4.342,0.0472,0.0759,0,0.0268,0.933,89.975,playlist_0,1HwpWwa6bnqqRhK8agG4RS
0.624,0.976,8,-5.355,0.0494,0.004,0.0000118,0.376,0.514,142.008,playlist_0,6MjljecHzHelUDismyKkba
0.829,0.627,1,-3.928,0.0759,0.00663,0,0.0939,0.72,120.048,playlist_0,3uoQULcUWfnt6nc6J7Vgai
0.725,0.732,9,-6.594,0.156,0.0501,0.0000018,0.104,0.515,93.029,playlist_0,1X5WGCrUMuwRFuYU1eAo2I
0.687,0.71,9,-5.84,0.0522,0.0283,0.00000371,0.0689,0.886,79.235,playlist_0,20ORwCJusz4KS2PbTPVNKo
0.728,0.801,4,-3.636,0.0752,0.00349,0.000195,0.0907,0.813,119.989,playlist_0,19Js5ypV6JKn4DMExHQbGc
0.442,0.893,0,-4.878,0.0505,0.00844,0,0.529,0.712,148.119,playlist_0,12qZHAeOyTf93YAWvGDTat
0.414,0.959,7,-4.299,0.0378,0.0000231,0.933,0.368,0.589,145.911,playlist_1,3x2mJ2bjCIU70NrH49CtYR
0.835,0.687,5,-3.18,0.184,0.101,0,0.132,0.828,94.059,playlist_0,0uqPG793dkDDN7sCUJJIVC
0.881,0.788,2,-4.669,0.168,0.0212,0,0.0377,0.592,104.997,playlist_0,0XUfyU2QviPAs6bxSpXYG4
0.846,0.482,1,-6.721,0.129,0.0246,0,0.393,0.212,100.969,playlist_0,7xYnUQigPoIDAMPVK79NEq
0.465,0.954,10,-4.251,0.044,0.000346,0.00000538,0.573,0.458,143.85,playlist_0,5lDriBxJd22IhOH9zTcFrV
0.536,0.612,4,-5.847,0.272,0.119,0,0.209,0.57,86.768,playlist_0,7DFnq8FYhHMCylykf6ZCxA
0.71,0.553,4,-4.722,0.0292,0.00206,0.0000548,0.0469,0.731,99.005,playlist_0,4Y45aqo9QMa57rDsAJv40A
0.485,0.823,1,-2.816,0.0362,0.00981,0,0.116,0.555,91.005,playlist_0,5c1sfI6wIQEsSUw0xrkFdl
0.522,0.205,2,-7.986,0.0376,0.0534,0.235,0.0985,0.353,103.868,playlist_1,1Pm3fq1SC6lUlNVBGZi3Em
0.356,0.924,1,-3.74,0.0808,0.00101,0,0.0953,0.232,148.017,playlist_0,7oK9VyNzrYvRFo7nQEYkWN
0.706,0.751,9,-6.323,0.0708,0.173,0,0.168,0.195,91.031,playlist_0,4E5P1XyAFtrjpiIxkydly4
0.808,0.97,10,-6.098,0.0506,0.0569,0.0000613,0.154,0.868,114.328,playlist_0,2gam98EZKrF9XuOkU13ApN
0.615,0.711,11,-5.507,0.0779,0.0444,0,0.145,0.711,144.036,playlist_0,67T6l4q3zVjC5nZZPXByU8
0.698,0.649,8,-6.764,0.415,0.15,0,0.0903,0.568,180.466,playlist_1,4cxvludVmQxryrnx1m9FqL
0.0849,0.956,2,-4.196,0.0805,0.0000524,0.953,0.397,0.309,185.397,playlist_1,1NXTEkIeRL59NK61QuhYUl
0.904,0.813,4,-7.105,0.121,0.0311,0.00697,0.0471,0.81,125.461,playlist_0,0UaMYEvWZi0ZqiDOoHU3YI
0.662,0.507,5,-8.238,0.118,0.257,0,0.0465,0.676,86.412,playlist_0,68vgtRHr7iZHpzGpon6Jlo
0.669,0.822,11,-4.288,0.043,0.0339,0.000142,0.231,0.43,120.011,playlist_0,3H1LCvO3fVsK2HPguhbml0
0.619,0.87,2,-4.956,0.501,0.41,0.00000137,0.0571,0.94,188.772,playlist_0,1Y4ZdPOOgCUhBcKZOrUFiS
